state,5-year change in median home price,Home price-to-income ratio,POPESTIMATE2025,density_sq_m,median_hhi,rep_24,dem_24
Alabama,0.399,3.6,"5,193,088",101,"63,999",64.57,34.1
Alaska,0.178,4.3,"737,270",1,"92,788",54.54,41.41
Arizona,0.519,5.5,"7,623,818",65,"79,964",52.22,46.69
Arkansas,0.404,3.5,"3,114,791",59,"60,773",64.2,33.56
California,0.41,8.2,"39,355,309",250,"99,122",38.33,58.47
Colorado,0.357,5.9,"6,012,561",57,"95,470",43.14,54.13
Connecticut,0.588,4.4,"3,688,496",747,"95,781",41.89,56.4
Delaware,0.428,4.7,"1,059,952",529,"84,954",41.79,56.49
Florida,0.554,5.3,"23,462,518",422,"74,568",56.09,42.99
Georgia,0.563,4.4,"11,302,748",192,"77,353",50.72,48.53
Hawaii,0.366,8.8,"1,432,820",223,"100,389",37.48,60.59
Idaho,0.565,6.1,"2,029,733",24,"77,800",66.87,30.38
Illinois,0.384,3.3,"12,719,141",226,"83,390",43.47,54.37
Indiana,0.515,3.5,"6,973,333",192,"71,957",58.58,39.62
Iowa,0.372,3,"3,238,387",57,"75,059",55.73,42.52
Kansas,0.492,3.2,"2,977,220",36,"74,275",57.16,41.04
Kentucky,0.484,3.5,"4,606,864",115,"63,726",64.47,33.94
Louisiana,0.083,3.4,"4,618,189",106,"60,756",60.22,38.21
Maine,0.664,5.3,"1,414,874",45,"74,733",45.46,52.4
Maryland,0.323,4.3,"6,265,347",637,"103,678",34.08,62.62
Massachusetts,0.475,6.3,"7,154,084",898,"103,960",36.02,61.22
Michigan,0.439,3.5,"10,127,884",178,"72,875",49.73,48.31
Minnesota,0.311,3.9,"5,830,405",72,"89,062",46.68,50.92
Mississippi,0.306,3.3,"2,954,160",63,"56,447",60.89,38
Missouri,0.482,3.6,"6,270,541",90,"70,702",58.49,40.08
Montana,0.665,6.4,"1,144,694",8,"72,509",58.39,38.46
Nebraska,0.441,3.5,"2,018,006",26,"76,475",59.32,38.86
Nevada,0.461,5.8,"3,282,188",29,"78,260",50.59,47.49
New Hampshire,0.673,5,"1,415,342",157,"99,031",47.87,50.65
New Jersey,0.535,5.4,"9,548,215","1,263","103,556",46.06,51.97
New Mexico,0.523,4.9,"2,125,498",17,"64,059",45.85,51.85
New York,0.384,5.9,"20,002,427",415,"85,974",43.31,55.91
North Carolina,0.565,4.6,"11,197,968",223,"72,388",50.86,47.65
North Dakota,0.2,3.5,"799,358",11,"76,657",66.96,30.51
Ohio,0.495,3.4,"11,900,510",288,"71,389",55.14,43.93
Oklahoma,0.463,3.3,"4,123,288",59,"65,039",66.16,31.9
Oregon,0.355,6.2,"4,273,586",44,"83,011",40.97,55.27
Pennsylvania,0.407,3.6,"13,059,432",290,"77,971",50.37,48.66
Rhode Island,0.578,5.5,"1,114,521","1,060","87,796",41.76,55.54
South Carolina,0.522,4.3,"5,570,274",179,"69,324",58.23,40.36
South Dakota,0.454,4.2,"935,094",12,"75,081",63.43,34.24
Tennessee,0.546,4.7,"7,315,076",173,"69,595",64.19,34.47
Texas,0.386,4,"31,709,821",117,"78,476",56.14,42.46
Utah,0.496,5.6,"3,538,904",42,"95,166",59.38,37.79
Vermont,0.444,4.6,"644,663",70,"81,203",32.32,63.83
Virginia,0.42,4.4,"8,880,107",221,"93,170",46.05,51.83
Washington,0.451,6.3,"8,001,020",118,"98,141",39.01,57.23
West Virginia,0.434,2.9,"1,766,147",74,"59,608",69.97,28.1
Wisconsin,0.476,4.1,"5,972,787",109,"77,485",49.6,48.74
Wyoming,0.391,4.9,"588,753",6,"76,176",71.6,25.84
